ProductId,BestSummary,avg_score
0006641040,Read it once. Read it twice. Reading Chicken Soup With Rice,4.351351351351352
7310172001,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
7310172101,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B00002N8SM,Epic Fail - Worst Fly Trap Ever Created,1.7894736842105263
B00004CI84,Cheesy Reissue,4.4867724867724865
B00004CXX9,Cheesy Reissue,4.4051282051282055
B00004RAMS,This is what works.  It's all about placement,3.6333333333333333
B00004RAMX,This thing works.....,3.64
B00004RAMY,Don't follow the directions,4.104651162790698
B00004RBDU,The last desperate act,3.8421052631578947
B00004RBDW,Excellent!,4.0
B00004RBDZ,This trap is amazing,3.6271186440677967
B00004RYGX,Cheesy Reissue,4.4867724867724865
B00004S1C5,"Not Organic or Natural despite search on ""organic food coloring""",4.0
B00004S1C6,Wonderful product gives professional results,4.590163934426229
B00005344V,great asthma reliever,4.882352941176471
B0000537KC,Great as a snack,4.25
B00005C2M2,Is as described. Freeze-dried ice-cream,4.48
B00005IX96,Better than Starbucks espresso pods,3.75
B00005IX97,Better than Starbucks espresso pods,3.75
B00005IX98,Better than Starbucks espresso pods,3.75
B00005U2FA,A good product made better,4.450704225352113
B00006LL38,Great price and shipping.,3.909090909090909
B000084DWM,"Filler food is empty, leaves your cat always needing more",3.6
B000084E66,Worthless product,3.7142857142857144
B000084E6V,DO NOT BUY- WARNING!!!!,4.107344632768362
B000084E76,Hours of Fun,3.5555555555555554
B000084E9M,Labradorable once again,5.0
B000084ETV,WARNING!  They've changed the formula!,3.6923076923076925
B000084EZ4,Fantastic Food for Good Cat Health,4.19620253164557
B000084F04,One Observation Among Many,3.515151515151515
B000084F1I,Great Chow,4.211538461538462
B000084F3O,Saved my Cat!,4.166666666666667
B000084F5E,"healthy and wholesome, but not the tastiest",4.086956521739131
B000084F6F,"Great Value, A Little Broken Up",4.466666666666667
B00008CQVA,Fantastic Food for Good Cat Health,4.19620253164557
B00008DFK5,Kong Paste,3.9302325581395348
B00008JOL0,My Dog Thinks This Is Her Treat For the Day!,4.744897959183674
B00008MOIF,"It's cheap, and it's bad for your cat.",2.0
B00008WUA9,Decent quality but a few shortcomings,4.0
B00009ZIY2,Nothing but garbage.,2.6
B0000AH3UK,THE BEST,4.764705882352941
B0000C69FB,Worth buying in bulk so you never run out of tea...,4.7727272727272725
